verdict_1,verdict_2,Similarity
ME-16-07-11608-225,ME-22-12-47987-640,1
ME-16-11-63255-338,ME-18-01-73652-357,1
ME-16-12-26620-433,ME-16-06-6788-21,1
ME-17-01-59971-328,ME-14-01-16958-980,3
ME-17-01-620-279,ME-16-12-19902-389,3
ME-17-03-30876-747,SH-23-02-41988-839,1
ME-17-03-30876-747,ME-17-01-59971-328,3
ME-17-04-17677-800,ME-14-01-16958-980,3
ME-18-02-5680-55,ME-22-04-7867-732,1
ME-18-02-5680-55,ME-15-11-31122-886,2
ME-18-04-16826-842,ME-16-12-19902-389,3
ME-18-04-46786-521,ME-16-06-6788-21,1
ME-18-04-46786-521,ME-16-12-26620-433,1
ME-18-08-58591-978,ME-16-06-6788-21,1
ME-19-01-68942-383,ME-16-06-6788-21,1
ME-19-01-68958-71,ME-16-06-6788-21,1
ME-19-02-45480-398,ME-17-03-30876-747,3
ME-19-02-45480-398,ME-17-04-17677-800,3
ME-19-02-45480-398,ME-19-04-14578-148,3
ME-19-04-14488-104,ME-19-04-14578-148,3
ME-19-04-14488-104,ME-21-03-10139-230,1
ME-19-04-14488-104,ME-14-01-16958-980,3
ME-19-04-14578-148,ME-17-03-30876-747,3
ME-19-04-14578-148,ME-17-04-17677-800,3
ME-19-07-4435-107,ME-14-01-16958-980,3
ME-19-07-4435-107,ME-19-04-14488-104,3
ME-21-03-10139-230,ME-15-09-24514-351,1
ME-21-03-10139-230,ME-16-06-6788-21,2
ME-21-03-10139-230,ME-16-07-11608-225,1
ME-21-03-10139-230,ME-18-01-73652-357,3
ME-21-12-42162-424,ME-19-04-14488-104,1
ME-22-01-47042-277,SH-16-09-64418-33,1
ME-22-07-53625-139,ME-19-04-14578-148,3
ME-22-08-15747-700,ME-16-12-26620-433,1
ME-22-11-1990-79,ME-19-04-14578-148,1
ME-22-11-1990-79,SH-24-01-9804-702,1
ME-23-01-46786-206,ME-17-04-17677-800,1
ME-23-04-8444-574,ME-19-07-4435-107,1
ME-23-05-13598-78,ME-23-12-14553-571,3
ME-23-05-52567-993,ME-22-04-7867-732,3
ME-23-12-14553-571,ME-18-04-16826-842,1
SH-16-09-64418-33,SH-19-11-18218-11,1
SH-19-02-58269-573,ME-17-04-17677-800,1
SH-19-02-58269-573,SH-15-05-1276-44,1
SH-20-05-28746-251,SH-21-11-9851-17,1
SH-20-06-12380-808,ME-19-01-68942-383,1
SH-20-06-12380-808,ME-23-05-13598-78,1
SH-21-02-40908-370,ME-22-07-32175-327,1
SH-21-03-7171-604,ME-23-01-46786-206,1
SH-21-03-7171-604,SH-19-11-18218-11,1
SH-22-01-16014-223,ME-16-12-19902-389,1
SH-22-01-16014-223,ME-18-07-67342-121,1
SH-22-05-36033-112,SH-22-05-39259-133,3
SH-22-05-39259-133,ME-16-06-6788-21,1
SH-22-05-39259-133,SH-21-03-7171-604,1
SH-23-07-61816-773,SH-24-01-26596-264,1
SH-23-09-35299-260,ME-22-06-54208-991,1
SH-24-01-3818-394,ME-14-01-16958-980,3
SH-24-01-3818-394,ME-17-04-17677-800,3
SH-24-01-9804-702,ME-19-01-68958-71,1
SH-24-05-28565-553,ME-15-09-24514-351,1
ME-14-01-16958-980,SH-24-01-3818-394,3
ME-17-01-620-279,ME-10-11-18588-3,3
ME-18-02-5680-55,SH-13-09-29504-694,1
ME-18-08-58591-978,ME-16-07-11608-225,2
ME-18-08-8864-290,SH-17-07-16759-919,3
ME-20-12-1338-335,ME-22-12-47987-640,3
ME-21-12-42162-424,ME-17-03-30876-747,1
ME-21-12-42162-424,SH-13-09-29504-694,1
ME-21-12-42162-424,SH-19-02-58269-573,2
ME-21-12-42162-424,SH-21-09-42879-201,1
ME-21-12-42162-424,SH-21-12-59578-330,2
ME-22-01-47042-277,ME-18-01-73652-357,3
ME-22-07-53625-139,ME-22-12-47987-640,1
ME-22-08-15747-700,ME-23-08-41833-827,4
ME-22-11-1990-79,ME-16-07-11608-225,3
ME-22-11-1990-79,ME-18-04-46786-521,3
ME-23-05-52567-993,ME-17-03-30876-747,3
ME-23-08-41833-827,ME-22-12-47987-640,3
ME-23-12-14553-571,ME-17-03-30876-747,3
SH-16-09-64418-33,SH-17-07-16759-919,2
SH-19-02-58269-573,ME-16-11-63255-338,1
SH-19-02-58269-573,ME-21-12-42162-424,1
SH-19-02-58269-573,ME-23-12-14553-571,2
SH-19-03-50607-561,ME-16-11-63255-338,4
SH-21-09-42879-201,ME-18-08-8864-290,1
SH-21-09-42879-201,ME-21-12-42162-424,1
SH-21-09-42879-201,ME-22-07-53625-139,1
SH-21-09-42879-201,ME-23-12-14553-571,1
SH-21-09-42879-201,SH-16-09-64418-33,1
SH-21-09-42879-201,SH-19-02-58269-573,2
SH-21-09-42879-201,SH-19-03-50607-561,3
SH-21-09-42879-201,SH-24-01-26596-264,2
SH-21-09-42879-201,SH-24-01-9804-702,1
SH-22-05-36033-112,SH-16-09-64418-33,2
SH-24-01-26596-264,ME-21-12-42162-424,1
SH-24-01-26596-264,ME-22-07-53625-139,2
SH-24-01-26596-264,SH-13-09-29504-694,1
SH-24-01-26596-264,SH-19-02-58269-573,3
SH-24-01-26596-264,SH-21-12-59578-330,2
SH-24-01-26596-264,SH-24-01-9804-702,1
SH-24-01-9804-702,ME-16-07-11608-225,1
SH-24-01-9804-702,ME-21-12-42162-424,2
SH-24-01-9804-702,ME-23-12-14553-571,2
SH-24-01-9804-702,SH-21-09-42879-201,1
SH-24-01-9804-702,SH-23-09-35299-260,1
SH-24-05-28565-553,SH-21-12-59578-330,2
SH-24-05-46424-585,SH-23-09-35299-260,3